"sparse weighted graph embedding,"	,"
374,-4.0115,-1.0105385	,-3.0873473,0.075380154
375,-4.0561094,-1.018482	,-3.0782876,0.15427619
376,-4.131037,-1.046353	,-3.0963366,0.08879783
377,-4.1577573,-1.0559837	,-3.1175814,0.04648474
378,-3.876396,-0.9825847	,-3.007251,0.112209976
379,-3.9190862,-0.99053603	,-3.0220332,0.10553052
380,-3.9941983,-1.0051419	,-3.1059637,0.035899766
381,-3.9984112,-1.020449	,-3.1323447,-0.020205652
382,-4.004711,-1.0149322	,-3.142148,-0.027646305
383,-3.9752052,-1.0130877	,-3.1392016,-0.07675994
384,-4.060987,-1.0322644	,-3.0996964,-0.034719516
385,-4.070185,-1.0229392	,-3.0914433,0.024111979
386,-3.901383,-0.9834365	,-3.079857,0.12072896
387,-3.9098532,-0.987412	,-3.131841,-0.06609884
388,-3.9445512,-0.9976534	,-3.1337657,-0.063151754
389,-3.872349,-0.9732158	,-3.1212437,0.045408003
390,-3.8410957,-0.983903	,-2.986667,-0.03525558
391,-3.8400714,-0.97258663	,-2.9727385,0.11635981
392,-3.4687483,-0.8482894	,-2.973827,0.07005405
393,-3.4337654,-0.87413585	,-2.991125,0.042968526
394,-3.6069887,-0.8916793	,-3.0340724,0.07018423
395,-3.7723894,-0.9335778	,-3.0023406,0.07278667
396,-3.7630055,-0.93501514	,-3.000901,0.055487968
397,-3.9289544,-0.9548462	,-3.098113,0.05200861
398,-3.6438758,-0.89574945	,-2.9740245,0.07107159
399,-3.6188803,-0.8895495	,-2.972131,0.11419277
400,-3.5859442,-0.88967264	,-2.9318647,0.1169598
401,-3.5926058,-0.8831148	,-2.9512768,0.10114701
402,-3.5715528,-0.881447	,-2.945912,0.12071127
403,-3.5260313,-0.8938062	,-2.965602,0.09849276
404,-3.5150664,-0.8793337	,-3.0174112,0.11544771
405,-3.5642002,-0.88954216	,-3.0304303,0.095868975
406,-3.6678677,-0.8914469	,-3.0357487,0.110533915
407,-3.496313,-0.8582513	,-2.9531498,0.08651336
408,-3.5319364,-0.8765629	,-2.9454253,0.081586435
409,-3.5436666,-0.8757056	,-2.9671967,0.08727784
410,-3.4604638,-0.85539526	,-2.98639,0.07141153
411,-3.4698036,-0.880142	,-3.0092034,-0.0072854497
412,-3.3716836,-0.838272	,-2.868336,0.05181711
413,-3.1894946,-0.79050016	,-2.7646391,0.090073355
414,-3.152888,-0.78020436	,-2.771069,0.12020867
415,-3.2265348,-0.7952365	,-2.7494526,0.12587728
416,-3.232568,-0.8102296	,-2.7961254,0.053552147
417,-3.2231104,-0.7862763	,-2.846958,0.08765089
418,-3.2384312,-0.8057065	,-2.8568969,0.100118175
419,-3.182344,-0.78588265	,-2.7904615,0.094293274
420,-3.1581054,-0.7893697	,-2.7862742,0.11069426
421,-3.1058252,-0.7648237	,-2.7938092,0.09362135
422,-3.0664728,-0.7761827	,-2.793241,0.09307775
423,-3.1854355,-0.7969213	,-2.7927651,0.07894295
424,-3.0977905,-0.775839	,-2.7257364,0.09543236
425,-3.0853722,-0.7741941	,-2.7203262,0.08896352
426,-3.093022,-0.7775326	,-2.729722,0.08958867
427,-3.0765746,-0.757802	,-2.6473122,0.07432586
428,-3.0687892,-0.77016693	,-2.6241653,0.06668032
429,-3.162106,-0.78343976	,-2.6162846,0.08357276
430,-3.1583822,-0.801771	,-2.6200092,0.08409156
431,-3.1084778,-0.7779919	,-2.6240838,0.09341764
432,-3.0365899,-0.749276	,-2.6640193,0.07908461
433,-2.8935783,-0.71954745	,-2.6282465,0.08377726
434,-2.824368,-0.7187624	,-2.5038843,0.093939885
435,-2.8463442,-0.71991277	,-2.5529265,0.11683203
436,-2.7832994,-0.69830835	,-2.4479613,0.10596268
437,-2.8080628,-0.7104917	,-2.4538445,0.1130796
438,-2.8100178,-0.70661396	,-2.4739623,0.08824833
439,-2.772836,-0.7045236	,-2.4806044,0.09330726
440,-2.8546257,-0.7077747	,-2.568094,0.09019801
441,-2.8530498,-0.7115212	,-2.5719693,0.0934811
442,-2.7193038,-0.6889419	,-2.5743093,0.097423255
443,-2.7221708,-0.69584143	,-2.5803945,0.09089113
444,-2.7121656,-0.6932557	,-2.5534706,0.09559668
445,-2.7619395,-0.72036517	,-2.5213997,0.0886235
446,-2.762588,-0.7170565	,-2.5222502,0.11392849
447,-2.7848973,-0.7100338	,-2.5049818,0.1135702
448,-2.7332551,-0.69493276	,-2.5158134,0.1008939
449,-2.7243087,-0.69932204	,-2.4852593,0.095560916
450,-2.7955897,-0.7097682	,-2.608011,0.07184203
451,-2.86058,-0.7353779	,-2.6426919,0.108943716
452,-2.873422,-0.7318877	,-2.6442394,0.09153543
453,-2.9359164,-0.7459855	,-2.546413,0.084862664
454,-2.9400916,-0.7399064	,-2.5629056,0.11128721
455,-2.920542,-0.75161976	,-2.5746992,0.100368194
456,-2.9179866,-0.74242365	,-2.6003752,0.09104537
457,-2.9261138,-0.7401892	,-2.609215,0.062612385
458,-2.9597192,-0.76339936	,-2.5983465,0.09551995
459,-2.9118905,-0.7454021	,-2.5960796,0.08346306
460,-2.8860087,-0.7337976	,-2.5649927,0.09342827
461,-2.9810166,-0.7580722	,-2.6363623,0.119930655
462,-3.0140584,-0.7532081	,-2.635399,0.10536545
463,-3.0071728,-0.7615736	,-2.6151412,0.12590611
464,-2.9304907,-0.75564206	,-2.6761732,0.113827504
465,-2.9558666,-0.7554919	,-2.6863277,0.11810622
466,-2.9409645,-0.7496385	,-2.6917646,0.09600567
467,-2.9742413,-0.7656697	,-2.7245004,0.085297376
